MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929588,0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,98.3080000,53.1518745,-145.9481659,-0.0725727
MsgID.LOCAL_VELOCITY,98.3080000,-0.0000026,0.0000368,0.0000097
MsgID.GLOBAL_POSITION,0.0000000,-122.3990946,37.7929588,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,98.5580000,53.1509819,-145.8975220,-0.0901064
MsgID.LOCAL_VELOCITY,98.5580000,0.0000088,0.0000505,-0.0000032
MsgID.GLOBAL_POSITION,0.0000000,-122.3990938,37.7929594,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,98.8080000,53.2233047,-145.8297272,-0.1208453
MsgID.LOCAL_VELOCITY,98.8080000,0.0000052,0.0000515,0.0000202
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990963,37.7929601,0.1560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,99.0580000,53.2932320,-146.0509033,-0.1567999
MsgID.LOCAL_VELOCITY,99.0580000,-0.0003039,-0.0000432,0.0000327
MsgID.GLOBAL_POSITION,0.0000000,-122.3990959,37.7929587,0.1880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,99.3080000,53.1394424,-146.0126953,-0.1887845
MsgID.LOCAL_VELOCITY,99.3080000,-0.0000026,0.0000411,0.0000074
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929588,0.2080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,99.5580000,53.1559296,-145.9474030,-0.2083314
MsgID.LOCAL_VELOCITY,99.5580000,0.0000139,0.0000512,0.0000027
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929597,0.2100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,99.8080000,53.2582283,-145.9474030,-0.2101017
MsgID.LOCAL_VELOCITY,99.8080000,0.0000001,0.0000498,0.0000303
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929604,0.1930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,100.0590000,53.3356285,-145.9533539,-0.1931061
MsgID.LOCAL_VELOCITY,100.0590000,0.0000030,0.0000538,0.0000236
MsgID.GLOBAL_POSITION,0.0000000,-122.3990961,37.7929592,0.1600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,100.3120000,53.1969032,-146.0267334,-0.1602153
MsgID.LOCAL_VELOCITY,100.3120000,-0.0000076,0.0000414,0.0000166
MsgID.GLOBAL_POSITION,0.0000000,-122.3990950,37.7929591,0.1170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,100.5620000,53.1875343,-145.9284515,-0.1176867
MsgID.LOCAL_VELOCITY,100.5620000,-0.0000004,0.0000501,0.0000218
MsgID.GLOBAL_POSITION,0.0000000,-122.3990935,37.7929597,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,100.8120000,53.2554550,-145.7968292,-0.0700731
